Name,Exterior,Price
★ M9 Bayonet | Case Hardened ,Field-Tested,959.22
★ StatTrak™ M9 Bayonet | Case Hardened ,Field-Tested,959.22
★ StatTrak™ Skeleton Knife | Stained ,Minimal Wear,953.31
★ Specialist Gloves | Mogul ,Minimal Wear,945.77
★ Bayonet | Autotronic ,Field-Tested,944.38
★ StatTrak™ Bayonet | Autotronic ,Field-Tested,944.38
★ StatTrak™ Flip Knife,,944.16
★ Flip Knife | Doppler ,Factory New,929.57
★ StatTrak™ Flip Knife | Doppler ,Factory New,929.57
★ Karambit | Rust Coat ,Battle-Scarred,926.29
★ M9 Bayonet | Damascus Steel ,Field-Tested,923.75
★ StatTrak™ Skeleton Knife | Blue Steel ,Field-Tested,914.64
★ Driver Gloves | King Snake ,Field-Tested,911.64
★ M9 Bayonet | Bright Water ,Field-Tested,905.89
★ StatTrak™ M9 Bayonet | Bright Water ,Field-Tested,905.89
★ StatTrak™ Ursus Knife | Doppler ,Factory New,902.51
★ Ursus Knife | Doppler ,Factory New,902.51
★ StatTrak™ Karambit | Urban Masked ,Minimal Wear,900.09
★ StatTrak™ Stiletto Knife,,900.09
★ StatTrak™ Nomad Knife | Slaughter ,Minimal Wear,848.88
AK-47 | Vulcan ,Minimal Wear,833.24
★ Nomad Knife | Crimson Web ,Field-Tested,822.58
★ StatTrak™ Nomad Knife | Crimson Web ,Field-Tested,822.58
★ Skeleton Knife | Case Hardened ,Well-Worn,817.3
★ StatTrak™ Ursus Knife | Crimson Web ,Minimal Wear,812.12
★ StatTrak™ Classic Knife | Slaughter ,Factory New,803.53
★ M9 Bayonet | Ultraviolet ,Field-Tested,800.89
★ StatTrak™ M9 Bayonet | Ultraviolet ,Field-Tested,800.89
★ Hand Wraps | Cobalt Skulls ,Field-Tested,798.75
★ Talon Knife | Crimson Web ,Field-Tested,795.84
★ Bayonet | Case Hardened ,Minimal Wear,791.29
★ Huntsman Knife | Doppler ,Factory New,767.63
★ Moto Gloves | Polygon ,Minimal Wear,760.9
★ M9 Bayonet | Rust Coat ,Battle-Scarred,755.72
★ StatTrak™ M9 Bayonet | Rust Coat ,Battle-Scarred,755.72
★ StatTrak™ Huntsman Knife | Marble Fade ,Factory New,755.42
★ StatTrak™ M9 Bayonet | Night ,Field-Tested,747.43
★ StatTrak™ Skeleton Knife | Blue Steel ,Well-Worn,741.03
★ Paracord Knife | Slaughter ,Factory New,730.24
★ StatTrak™ Paracord Knife | Slaughter ,Factory New,730.24
★ Moto Gloves | Boom! ,Minimal Wear,727.27
★ Bowie Knife | Gamma Doppler ,Factory New,726.05
★ Skeleton Knife | Case Hardened ,Battle-Scarred,716.87
★ StatTrak™ Skeleton Knife | Case Hardened ,Battle-Scarred,716.87
★ Bayonet | Bright Water ,Factory New,716.41
★ StatTrak™ Bayonet | Bright Water ,Factory New,716.41
★ StatTrak™ Skeleton Knife | Night Stripe ,Field-Tested,716.29
★ M9 Bayonet | Stained ,Battle-Scarred,712.64
★ StatTrak™ M9 Bayonet | Stained ,Battle-Scarred,712.64
★ Bayonet | Black Laminate ,Minimal Wear,701.31
★ StatTrak™ Bayonet | Black Laminate ,Minimal Wear,701.31
★ Bowie Knife | Doppler ,Factory New,696.04
★ StatTrak™ Ursus Knife,,694.46
★ StatTrak™ M9 Bayonet | Boreal Forest ,Field-Tested,692.67
★ StatTrak™ Flip Knife | Lore ,Field-Tested,688.03
★ StatTrak™ Talon Knife | Damascus Steel ,Field-Tested,686.01
★ Talon Knife | Damascus Steel ,Field-Tested,686.01
★ Specialist Gloves | Fade ,Field-Tested,685.58
★ Sport Gloves | Omega ,Battle-Scarred,672.63
★ StatTrak™ Stiletto Knife | Case Hardened ,Minimal Wear,671.75
★ Falchion Knife | Doppler ,Factory New,655.72
★ StatTrak™ Falchion Knife | Doppler ,Factory New,655.72
