Name,Exterior,Price,Name,Exterior,Price
AWP | Fade ,Factory New,2291.11,AWP | Fade ,Blue Face,2291.11
★ Karambit | Doppler ,Factory New,2166.89,★ Karambit | Doppler ,Blue Face,2166.89
★ StatTrak™ Karambit | Doppler ,Factory New,2166.89,★ StatTrak™ Karambit | Doppler ,Blue Face,2166.89
★ Karambit,,2148.09,★ Karambit,,2148.09
★ StatTrak™ Karambit,,2148.09,★ StatTrak™ Karambit,,2148.09
★ M9 Bayonet | Tiger Tooth ,Factory New,2139.88,★ M9 Bayonet | Tiger Tooth ,Blue Face,2139.88
★ StatTrak™ M9 Bayonet | Tiger Tooth ,Factory New,2139.88,★ StatTrak™ M9 Bayonet | Tiger Tooth ,Blue Face,2139.88
★ Specialist Gloves | Lt. Commander ,Factory New,2080.48,★ Specialist Gloves | Lt. Commander ,Blue Face,2080.48
★ StatTrak™ Butterfly Knife | Bright Water ,Factory New,2055.5,★ StatTrak™ Butterfly Knife | Bright Water ,Blue Face,2055.5
★ Bayonet | Fade ,Factory New,2042.22,★ Bayonet | Fade ,Blue Face,2042.22
★ StatTrak™ Bayonet | Fade ,Factory New,2042.22,★ StatTrak™ Bayonet | Fade ,Blue Face,2042.22
★ StatTrak™ Butterfly Knife | Black Laminate ,Minimal Wear,2035.02,★ StatTrak™ Butterfly Knife | Black Laminate ,Minimal Wear,2035.02
★ StatTrak™ M9 Bayonet | Autotronic ,Minimal Wear,2017.61,★ StatTrak™ M9 Bayonet | Autotronic ,Minimal Wear,2017.61
★ StatTrak™ Skeleton Knife,,1996.67,★ StatTrak™ Skeleton Knife,,1996.67
★ M9 Bayonet | Lore ,Field-Tested,1987.38,★ M9 Bayonet | Lore ,Field-Tested,1987.38
★ StatTrak™ M9 Bayonet | Lore ,Field-Tested,1987.38,★ StatTrak™ M9 Bayonet | Lore ,Field-Tested,1987.38
★ StatTrak™ Butterfly Knife | Ultraviolet ,Minimal Wear,1970.28,★ StatTrak™ Butterfly Knife | Ultraviolet ,Minimal Wear,1970.28
★ Butterfly Knife | Damascus Steel ,Factory New,1970.26,★ Butterfly Knife | Damascus Steel ,Blue Face,1970.26
★ StatTrak™ Karambit | Autotronic ,Field-Tested,1956.76,★ StatTrak™ Karambit | Autotronic ,Field-Tested,1956.76
★ StatTrak™ M9 Bayonet | Slaughter ,Factory New,1947.75,★ StatTrak™ M9 Bayonet | Slaughter ,Blue Face,1947.75
★ Nomad Knife | Fade ,Factory New,1945.3,★ Nomad Knife | Fade ,Blue Face,1945.3
★ StatTrak™ Nomad Knife | Fade ,Factory New,1945.3,★ StatTrak™ Nomad Knife | Fade ,Blue Face,1945.3
★ StatTrak™ Butterfly Knife | Black Laminate ,Field-Tested,1908.08,★ StatTrak™ Butterfly Knife | Black Laminate ,Field-Tested,1908.08
★ StatTrak™ Talon Knife | Marble Fade ,Factory New,1903.47,★ StatTrak™ Talon Knife | Marble Fade ,Blue Face,1903.47
★ Talon Knife | Marble Fade ,Factory New,1903.47,★ Talon Knife | Marble Fade ,Blue Face,1903.47
★ StatTrak™ Skeleton Knife | Slaughter ,Factory New,1890.57,★ StatTrak™ Skeleton Knife | Slaughter ,Blue Face,1890.57
★ Skeleton Knife | Crimson Web ,Field-Tested,1888.56,★ Skeleton Knife | Crimson Web ,Field-Tested,1888.56
★ StatTrak™ Skeleton Knife | Crimson Web ,Field-Tested,1888.56,★ StatTrak™ Skeleton Knife | Crimson Web ,Field-Tested,1888.56
★ M9 Bayonet | Doppler ,Factory New,1876.2,★ M9 Bayonet | Doppler ,Blue Face,1876.2
★ StatTrak™ M9 Bayonet | Doppler ,Factory New,1876.2,★ StatTrak™ M9 Bayonet | Doppler ,Blue Face,1876.2
★ Butterfly Knife | Case Hardened ,Factory New,1851.58,★ Butterfly Knife | Case Hardened ,Blue Face,1851.58
★ Karambit | Lore ,Field-Tested,1835.66,★ Karambit | Lore ,Field-Tested,1835.66
★ StatTrak™ Karambit | Lore ,Field-Tested,1835.66,★ StatTrak™ Karambit | Lore ,Field-Tested,1835.66
★ StatTrak™ Butterfly Knife | Freehand ,Minimal Wear,1819.1,★ StatTrak™ Butterfly Knife | Freehand ,Minimal Wear,1819.1
★ Butterfly Knife | Autotronic ,Battle-Scarred,1805.99,★ Butterfly Knife | Autotronic ,Battle-Scarred,1805.99
★ StatTrak™ Karambit | Slaughter ,Minimal Wear,1759.61,★ StatTrak™ Karambit | Slaughter ,Minimal Wear,1759.61
★ StatTrak™ Talon Knife | Doppler ,Factory New,1746.93,★ StatTrak™ Talon Knife | Doppler ,Blue Face,1746.93
★ Talon Knife | Doppler ,Factory New,1746.93,★ Talon Knife | Doppler ,Blue Face,1746.93
★ Butterfly Knife | Crimson Web ,Field-Tested,1734.33,★ Butterfly Knife | Crimson Web ,Field-Tested,1734.33
★ StatTrak™ Butterfly Knife | Crimson Web ,Field-Tested,1734.33,★ StatTrak™ Butterfly Knife | Crimson Web ,Field-Tested,1734.33
★ Specialist Gloves | Field Agent ,Minimal Wear,1711.36,★ Specialist Gloves | Field Agent ,Minimal Wear,1711.36
★ Sport Gloves | Slingshot ,Field-Tested,1704.95,★ Sport Gloves | Slingshot ,Field-Tested,1704.95
★ StatTrak™ Butterfly Knife | Night ,Minimal Wear,1703.92,★ StatTrak™ Butterfly Knife | Night ,Minimal Wear,1703.92
★ M9 Bayonet | Autotronic ,Field-Tested,1683.42,★ M9 Bayonet | Autotronic ,Field-Tested,1683.42
★ StatTrak™ M9 Bayonet | Autotronic ,Field-Tested,1683.42,★ StatTrak™ M9 Bayonet | Autotronic ,Field-Tested,1683.42
★ Sport Gloves | Amphibious ,Field-Tested,1676.44,★ Sport Gloves | Amphibious ,Field-Tested,1676.44
★ StatTrak™ Butterfly Knife | Black Laminate ,Battle-Scarred,1672.97,★ StatTrak™ Butterfly Knife | Black Laminate ,Battle-Scarred,1672.97
★ StatTrak™ Skeleton Knife | Slaughter ,Minimal Wear,1661.17,★ StatTrak™ Skeleton Knife | Slaughter ,Minimal Wear,1661.17
★ Butterfly Knife | Case Hardened ,Minimal Wear,1649.66,★ Butterfly Knife | Case Hardened ,Minimal Wear,1649.66
★ StatTrak™ Stiletto Knife | Fade ,Factory New,1624.84,★ StatTrak™ Stiletto Knife | Fade ,Blue Face,1624.84
★ Hand Wraps | Cobalt Skulls ,Minimal Wear,1623.15,★ Hand Wraps | Cobalt Skulls ,Minimal Wear,1623.15
★ StatTrak™ Flip Knife | Fade ,Factory New,1619.26,★ StatTrak™ Flip Knife | Fade ,Blue Face,1619.26
★ Bayonet | Marble Fade ,Factory New,1585.39,★ Bayonet | Marble Fade ,Blue Face,1585.39
★ Butterfly Knife | Blue Steel ,Minimal Wear,1558.22,★ Butterfly Knife | Blue Steel ,Minimal Wear,1558.22
★ StatTrak™ Butterfly Knife | Blue Steel ,Minimal Wear,1558.22,★ StatTrak™ Butterfly Knife | Blue Steel ,Minimal Wear,1558.22
★ StatTrak™ Butterfly Knife | Bright Water ,Field-Tested,1513.03,★ StatTrak™ Butterfly Knife | Bright Water ,Field-Tested,1513.03
★ StatTrak™ Karambit | Black Laminate ,Field-Tested,1505.72,★ StatTrak™ Karambit | Black Laminate ,Field-Tested,1505.72
★ Butterfly Knife | Blue Steel ,Field-Tested,1502.25,★ Butterfly Knife | Blue Steel ,Field-Tested,1502.25
★ StatTrak™ Butterfly Knife | Blue Steel ,Field-Tested,1502.25,★ StatTrak™ Butterfly Knife | Blue Steel ,Field-Tested,1502.25
★ Specialist Gloves | Crimson Web ,Minimal Wear,1493.84,★ Specialist Gloves | Crimson Web ,Minimal Wear,1493.84
★ Butterfly Knife | Damascus Steel ,Field-Tested,1492.58,★ Butterfly Knife | Damascus Steel ,Field-Tested,1492.58
★ StatTrak™ Butterfly Knife | Damascus Steel ,Field-Tested,1492.58,★ StatTrak™ Butterfly Knife | Damascus Steel ,Field-Tested,1492.58
★ Sport Gloves | Nocts ,Minimal Wear,1488.07,★ Sport Gloves | Nocts ,Minimal Wear,1488.07
★ Karambit | Crimson Web ,Field-Tested,1483.43,★ Karambit | Crimson Web ,Field-Tested,1483.43
★ StatTrak™ Karambit | Crimson Web ,Field-Tested,1483.43,★ StatTrak™ Karambit | Crimson Web ,Field-Tested,1483.43
★ Talon Knife | Tiger Tooth ,Factory New,1474.92,★ Talon Knife | Tiger Tooth ,Blue Face,1474.92
★ StatTrak™ M9 Bayonet | Slaughter ,Minimal Wear,1464.93,★ StatTrak™ M9 Bayonet | Slaughter ,Minimal Wear,1464.93
★ Bayonet | Gamma Doppler ,Factory New,1460.75,★ Bayonet | Gamma Doppler ,Blue Face,1460.75
★ Butterfly Knife | Case Hardened ,Field-Tested,1460.72,★ Butterfly Knife | Case Hardened ,Field-Tested,1460.72
★ StatTrak™ Butterfly Knife | Case Hardened ,Field-Tested,1460.72,★ StatTrak™ Butterfly Knife | Case Hardened ,Field-Tested,1460.72
★ Karambit | Freehand ,Factory New,1456.21,★ Karambit | Freehand ,Blue Face,1456.21
AK-47 | Fire Serpent ,Field-Tested,1455.45,AK-47 | Fire Serpent ,Field-Tested,1455.45
★ Butterfly Knife | Blue Steel ,Battle-Scarred,1449.58,★ Butterfly Knife | Blue Steel ,Battle-Scarred,1449.58
★ StatTrak™ Bayonet,,1440.03,★ StatTrak™ Bayonet,,1440.03
★ Karambit | Case Hardened ,Field-Tested,1433.2,★ Karambit | Case Hardened ,Field-Tested,1433.2
★ StatTrak™ Karambit | Case Hardened ,Field-Tested,1433.2,★ StatTrak™ Karambit | Case Hardened ,Field-Tested,1433.2
StatTrak™ AWP | Lightning Strike ,Factory New,1408.05,StatTrak™ AWP | Lightning Strike ,Blue Face,1408.05
★ Butterfly Knife | Crimson Web ,Well-Worn,1378.74,★ Butterfly Knife | Crimson Web ,Well-Worn,1378.74
★ StatTrak™ Butterfly Knife | Crimson Web ,Well-Worn,1378.74,★ StatTrak™ Butterfly Knife | Crimson Web ,Well-Worn,1378.74
★ Butterfly Knife | Stained ,Minimal Wear,1354.84,★ Butterfly Knife | Stained ,Minimal Wear,1354.84
★ Butterfly Knife | Case Hardened ,Well-Worn,1344.95,★ Butterfly Knife | Case Hardened ,Well-Worn,1344.95
★ StatTrak™ Butterfly Knife | Case Hardened ,Well-Worn,1344.95,★ StatTrak™ Butterfly Knife | Case Hardened ,Well-Worn,1344.95
★ Classic Knife | Fade ,Factory New,1337.37,★ Classic Knife | Fade ,Blue Face,1337.37
★ StatTrak™ Bayonet | Tiger Tooth ,Factory New,1336.98,★ StatTrak™ Bayonet | Tiger Tooth ,Blue Face,1336.98
★ StatTrak™ M9 Bayonet | Black Laminate ,Minimal Wear,1332.49,★ StatTrak™ M9 Bayonet | Black Laminate ,Minimal Wear,1332.49
