Tracking ID,Scraper,Date,Time
https://eservices.maroondah.vic.gov.au/ePathway/Production/Web/GeneralEnquiry/EnquiryDetailView.aspx?Id=909874,Maroondah,09-03-2023,22:21:17
https://eservices.maroondah.vic.gov.au/ePathway/Production/Web/GeneralEnquiry/EnquiryDetailView.aspx?Id=911928,Maroondah,09-03-2023,22:21:18
https://eservices.maroondah.vic.gov.au/ePathway/Production/Web/GeneralEnquiry/EnquiryDetailView.aspx?Id=923886,Maroondah,09-03-2023,22:21:19
https://eservices.maroondah.vic.gov.au/ePathway/Production/Web/GeneralEnquiry/EnquiryDetailView.aspx?Id=923657,Maroondah,09-03-2023,22:21:21
https://eservices.maroondah.vic.gov.au/ePathway/Production/Web/GeneralEnquiry/EnquiryDetailView.aspx?Id=923644,Maroondah,09-03-2023,22:21:25
https://eservices.maroondah.vic.gov.au/ePathway/Production/Web/GeneralEnquiry/EnquiryDetailView.aspx?Id=923377,Maroondah,09-03-2023,22:21:28
https://eservices.maroondah.vic.gov.au/ePathway/Production/Web/GeneralEnquiry/EnquiryDetailView.aspx?Id=928126,Maroondah,09-03-2023,22:21:30
https://eservices.maroondah.vic.gov.au/ePathway/Production/Web/GeneralEnquiry/EnquiryDetailView.aspx?Id=928047,Maroondah,09-03-2023,22:21:31
https://eservices.maroondah.vic.gov.au/ePathway/Production/Web/GeneralEnquiry/EnquiryDetailView.aspx?Id=920605,Maroondah,09-03-2023,22:21:32
https://eservices.maroondah.vic.gov.au/ePathway/Production/Web/GeneralEnquiry/EnquiryDetailView.aspx?Id=927053,Maroondah,09-03-2023,22:21:33
https://eservices.maroondah.vic.gov.au/ePathway/Production/Web/GeneralEnquiry/EnquiryDetailView.aspx?Id=926541,Maroondah,09-03-2023,22:21:34
https://eservices.maroondah.vic.gov.au/ePathway/Production/Web/GeneralEnquiry/EnquiryDetailView.aspx?Id=925586,Maroondah,09-03-2023,22:21:35
https://eservices.maroondah.vic.gov.au/ePathway/Production/Web/GeneralEnquiry/EnquiryDetailView.aspx?Id=920295,Maroondah,09-03-2023,22:21:40
https://eservices.maroondah.vic.gov.au/ePathway/Production/Web/GeneralEnquiry/EnquiryDetailView.aspx?Id=924595,Maroondah,09-03-2023,22:21:41
https://eservices.maroondah.vic.gov.au/ePathway/Production/Web/GeneralEnquiry/EnquiryDetailView.aspx?Id=924564,Maroondah,09-03-2023,22:21:41
https://eservices.maroondah.vic.gov.au/ePathway/Production/Web/GeneralEnquiry/EnquiryDetailView.aspx?Id=913091,Maroondah,09-03-2023,22:21:44
https://eservices.maroondah.vic.gov.au/ePathway/Production/Web/GeneralEnquiry/EnquiryDetailView.aspx?Id=912529,Maroondah,09-03-2023,22:21:50
https://eservices.maroondah.vic.gov.au/ePathway/Production/Web/GeneralEnquiry/EnquiryDetailView.aspx?Id=911254,Maroondah,09-03-2023,22:21:58
https://eservices.maroondah.vic.gov.au/ePathway/Production/Web/GeneralEnquiry/EnquiryDetailView.aspx?Id=910825,Maroondah,09-03-2023,22:22:12
https://eservices.maroondah.vic.gov.au/ePathway/Production/Web/GeneralEnquiry/EnquiryDetailView.aspx?Id=909643,Maroondah,09-03-2023,22:22:19
https://eservices.maroondah.vic.gov.au/ePathway/Production/Web/GeneralEnquiry/EnquiryDetailView.aspx?Id=908799,Maroondah,09-03-2023,22:22:21
TPA_54093,xtasysd,09-03-2023,22:22:22
https://eservices.maroondah.vic.gov.au/ePathway/Production/Web/GeneralEnquiry/EnquiryDetailView.aspx?Id=907969,Maroondah,09-03-2023,22:22:31
https://eservices.maroondah.vic.gov.au/ePathway/Production/Web/GeneralEnquiry/EnquiryDetailView.aspx?Id=907558,Maroondah,09-03-2023,22:22:39
TPA_54219,xtasysd,09-03-2023,22:22:47
https://eservices.maroondah.vic.gov.au/ePathway/Production/Web/GeneralEnquiry/EnquiryDetailView.aspx?Id=904053,Maroondah,09-03-2023,22:22:48
https://eservices.maroondah.vic.gov.au/ePathway/Production/Web/GeneralEnquiry/EnquiryDetailView.aspx?Id=903708,Maroondah,09-03-2023,22:22:51
TPA_54230,xtasysd,09-03-2023,22:23:00
https://eservices.maroondah.vic.gov.au/ePathway/Production/Web/GeneralEnquiry/EnquiryDetailView.aspx?Id=901883,Maroondah,09-03-2023,22:23:01
https://eservices.maroondah.vic.gov.au/ePathway/Production/Web/GeneralEnquiry/EnquiryDetailView.aspx?Id=901840,Maroondah,09-03-2023,22:23:09
TPA_54261,xtasysd,09-03-2023,22:23:14
https://eservices.maroondah.vic.gov.au/ePathway/Production/Web/GeneralEnquiry/EnquiryDetailView.aspx?Id=900411,Maroondah,09-03-2023,22:23:17
https://eservices.maroondah.vic.gov.au/ePathway/Production/Web/GeneralEnquiry/EnquiryDetailView.aspx?Id=897364,Maroondah,09-03-2023,22:23:27
TPA_54265,xtasysd,09-03-2023,22:23:29
https://eservices.maroondah.vic.gov.au/ePathway/Production/Web/GeneralEnquiry/EnquiryDetailView.aspx?Id=893650,Maroondah,09-03-2023,22:23:33
https://eservices.maroondah.vic.gov.au/ePathway/Production/Web/GeneralEnquiry/EnquiryDetailView.aspx?Id=893449,Maroondah,09-03-2023,22:23:37
TPA_54374,xtasysd,09-03-2023,22:23:41
https://eservices.maroondah.vic.gov.au/ePathway/Production/Web/GeneralEnquiry/EnquiryDetailView.aspx?Id=892186,Maroondah,09-03-2023,22:24:02
TPA_54381,xtasysd,09-03-2023,22:24:05
https://eservices.maroondah.vic.gov.au/ePathway/Production/Web/GeneralEnquiry/EnquiryDetailView.aspx?Id=867955,Maroondah,09-03-2023,22:24:12
TPA_54405,xtasysd,09-03-2023,22:24:18
TPA_54424,xtasysd,09-03-2023,22:24:30
https://eservices.maroondah.vic.gov.au/ePathway/Production/Web/GeneralEnquiry/EnquiryDetailView.aspx?Id=890672,Maroondah,09-03-2023,22:24:32
https://eservices.maroondah.vic.gov.au/ePathway/Production/Web/GeneralEnquiry/EnquiryDetailView.aspx?Id=889339,Maroondah,09-03-2023,22:24:38
https://eservices.maroondah.vic.gov.au/ePathway/Production/Web/GeneralEnquiry/EnquiryDetailView.aspx?Id=887251,Maroondah,09-03-2023,22:24:40
TPA_54467,xtasysd,09-03-2023,22:24:45
https://eservices.maroondah.vic.gov.au/ePathway/Production/Web/GeneralEnquiry/EnquiryDetailView.aspx?Id=885693,Maroondah,09-03-2023,22:24:50
TPA_54509,xtasysd,09-03-2023,22:24:57
https://eservices.maroondah.vic.gov.au/ePathway/Production/Web/GeneralEnquiry/EnquiryDetailView.aspx?Id=883914,Maroondah,09-03-2023,22:24:58
https://eservices.maroondah.vic.gov.au/ePathway/Production/Web/GeneralEnquiry/EnquiryDetailView.aspx?Id=883552,Maroondah,09-03-2023,22:25:04
TPA_54538,xtasysd,09-03-2023,22:25:10
https://eservices.maroondah.vic.gov.au/ePathway/Production/Web/GeneralEnquiry/EnquiryDetailView.aspx?Id=881513,Maroondah,09-03-2023,22:25:15
https://eservices.maroondah.vic.gov.au/ePathway/Production/Web/GeneralEnquiry/EnquiryDetailView.aspx?Id=878867,Maroondah,09-03-2023,22:25:23
TPA_54542,xtasysd,09-03-2023,22:25:26
https://eservices.maroondah.vic.gov.au/ePathway/Production/Web/GeneralEnquiry/EnquiryDetailView.aspx?Id=877673,Maroondah,09-03-2023,22:25:35
TPA_54547,xtasysd,09-03-2023,22:25:41
https://eservices.maroondah.vic.gov.au/ePathway/Production/Web/GeneralEnquiry/EnquiryDetailView.aspx?Id=872398,Maroondah,09-03-2023,22:25:46
TPA_54618,xtasysd,09-03-2023,22:25:51
https://eservices.maroondah.vic.gov.au/ePathway/Production/Web/GeneralEnquiry/EnquiryDetailView.aspx?Id=871374,Maroondah,09-03-2023,22:25:53
https://eservices.maroondah.vic.gov.au/ePathway/Production/Web/GeneralEnquiry/EnquiryDetailView.aspx?Id=869525,Maroondah,09-03-2023,22:26:04
TPA_54622,xtasysd,09-03-2023,22:26:05
https://eservices.maroondah.vic.gov.au/ePathway/Production/Web/GeneralEnquiry/EnquiryDetailView.aspx?Id=915532,Maroondah,09-03-2023,22:26:09
https://eservices.maroondah.vic.gov.au/ePathway/Production/Web/GeneralEnquiry/EnquiryDetailView.aspx?Id=915433,Maroondah,09-03-2023,22:26:14
https://eservices.maroondah.vic.gov.au/ePathway/Production/Web/GeneralEnquiry/EnquiryDetailView.aspx?Id=915039,Maroondah,09-03-2023,22:26:22
https://eservices.maroondah.vic.gov.au/ePathway/Production/Web/GeneralEnquiry/EnquiryDetailView.aspx?Id=914318,Maroondah,09-03-2023,22:26:31
https://eservices.maroondah.vic.gov.au/ePathway/Production/Web/GeneralEnquiry/EnquiryDetailView.aspx?Id=845229,Maroondah,09-03-2023,22:26:40
https://eservices.maroondah.vic.gov.au/ePathway/Production/Web/GeneralEnquiry/EnquiryDetailView.aspx?Id=834908,Maroondah,09-03-2023,22:26:41
https://eservices.maroondah.vic.gov.au/ePathway/Production/Web/GeneralEnquiry/EnquiryDetailView.aspx?Id=923540,Maroondah,09-03-2023,22:26:45
https://eservices.maroondah.vic.gov.au/ePathway/Production/Web/GeneralEnquiry/EnquiryDetailView.aspx?Id=832011,Maroondah,09-03-2023,22:26:52
https://eservices.maroondah.vic.gov.au/ePathway/Production/Web/GeneralEnquiry/EnquiryDetailView.aspx?Id=831470,Maroondah,09-03-2023,22:28:14
https://eservices.maroondah.vic.gov.au/ePathway/Production/Web/GeneralEnquiry/EnquiryDetailView.aspx?Id=828016,Maroondah,09-03-2023,22:28:17
https://eservices.maroondah.vic.gov.au/ePathway/Production/Web/GeneralEnquiry/EnquiryDetailView.aspx?Id=864270,Maroondah,09-03-2023,22:28:23
https://eservices.maroondah.vic.gov.au/ePathway/Production/Web/GeneralEnquiry/EnquiryDetailView.aspx?Id=861685,Maroondah,09-03-2023,22:28:35
https://eservices.maroondah.vic.gov.au/ePathway/Production/Web/GeneralEnquiry/EnquiryDetailView.aspx?Id=858630,Maroondah,09-03-2023,22:28:36
https://eservices.maroondah.vic.gov.au/ePathway/Production/Web/GeneralEnquiry/EnquiryDetailView.aspx?Id=850209,Maroondah,09-03-2023,22:28:37
https://eservices.maroondah.vic.gov.au/ePathway/Production/Web/GeneralEnquiry/EnquiryDetailView.aspx?Id=905658,Maroondah,09-03-2023,22:28:38
https://eservices.maroondah.vic.gov.au/ePathway/Production/Web/GeneralEnquiry/EnquiryDetailView.aspx?Id=925862,Maroondah,09-03-2023,22:28:39
https://eservices.maroondah.vic.gov.au/ePathway/Production/Web/GeneralEnquiry/EnquiryDetailView.aspx?Id=923216,Maroondah,09-03-2023,22:28:40
https://eservices.maroondah.vic.gov.au/ePathway/Production/Web/GeneralEnquiry/EnquiryDetailView.aspx?Id=919257,Maroondah,09-03-2023,22:28:41
https://eservices.maroondah.vic.gov.au/ePathway/Production/Web/GeneralEnquiry/EnquiryDetailView.aspx?Id=885530,Maroondah,09-03-2023,22:28:42
https://eservices.maroondah.vic.gov.au/ePathway/Production/Web/GeneralEnquiry/EnquiryDetailView.aspx?Id=916458,Maroondah,09-03-2023,22:28:44
https://eservices.maroondah.vic.gov.au/ePathway/Production/Web/GeneralEnquiry/EnquiryDetailView.aspx?Id=881281,Maroondah,09-03-2023,22:28:45
https://eservices.maroondah.vic.gov.au/ePathway/Production/Web/GeneralEnquiry/EnquiryDetailView.aspx?Id=917018,Maroondah,09-03-2023,22:28:48
https://eservices.maroondah.vic.gov.au/ePathway/Production/Web/GeneralEnquiry/EnquiryDetailView.aspx?Id=880274,Maroondah,09-03-2023,22:28:56
https://eservices.maroondah.vic.gov.au/ePathway/Production/Web/GeneralEnquiry/EnquiryDetailView.aspx?Id=923617,Maroondah,09-03-2023,22:28:58
https://eservices.maroondah.vic.gov.au/ePathway/Production/Web/GeneralEnquiry/EnquiryDetailView.aspx?Id=912941,Maroondah,09-03-2023,22:29:01
https://eservices.maroondah.vic.gov.au/ePathway/Production/Web/GeneralEnquiry/EnquiryDetailView.aspx?Id=913214,Maroondah,09-03-2023,22:29:02
https://eservices.maroondah.vic.gov.au/ePathway/Production/Web/GeneralEnquiry/EnquiryDetailView.aspx?Id=921696,Maroondah,09-03-2023,22:29:03
https://eservices.maroondah.vic.gov.au/ePathway/Production/Web/GeneralEnquiry/EnquiryDetailView.aspx?Id=892333,Maroondah,09-03-2023,22:29:06
TPA_42334_B,Monash,09-03-2023,22:35:40
TPA_45863_A,Monash,09-03-2023,22:35:54
TPA_50763_A,Monash,09-03-2023,22:36:05
TPA_53430,Monash,09-03-2023,22:36:21
https://eservices.whitehorse.vic.gov.au/ePathway/Production/Web/GeneralEnquiry/EnquiryDetailView.aspx?Id=1278987,WhiteHorse,09-03-2023,22:36:32
TPA_53697,Monash,09-03-2023,22:36:33
TPA_53784,Monash,09-03-2023,22:36:46
https://eservices.whitehorse.vic.gov.au/ePathway/Production/Web/GeneralEnquiry/EnquiryDetailView.aspx?Id=1279000,WhiteHorse,09-03-2023,22:36:51
TPA_53810,Monash,09-03-2023,22:36:58
https://eservices.whitehorse.vic.gov.au/ePathway/Production/Web/GeneralEnquiry/EnquiryDetailView.aspx?Id=1279499,WhiteHorse,09-03-2023,22:37:07
TPA_53862_A,Monash,09-03-2023,22:37:12
https://eservices.whitehorse.vic.gov.au/ePathway/Production/Web/GeneralEnquiry/EnquiryDetailView.aspx?Id=1279532,WhiteHorse,09-03-2023,22:37:24
TPA_54093,Monash,09-03-2023,22:37:29
https://eservices.whitehorse.vic.gov.au/ePathway/Production/Web/GeneralEnquiry/EnquiryDetailView.aspx?Id=1280161,WhiteHorse,09-03-2023,22:37:35
https://eservices.whitehorse.vic.gov.au/ePathway/Production/Web/GeneralEnquiry/EnquiryDetailView.aspx?Id=1280299,WhiteHorse,09-03-2023,22:37:47
TPA_54219,Monash,09-03-2023,22:37:56
https://eservices.whitehorse.vic.gov.au/ePathway/Production/Web/GeneralEnquiry/EnquiryDetailView.aspx?Id=1280352,WhiteHorse,09-03-2023,22:38:02
TPA_54230,Monash,09-03-2023,22:38:09
https://eservices.whitehorse.vic.gov.au/ePathway/Production/Web/GeneralEnquiry/EnquiryDetailView.aspx?Id=1281973,WhiteHorse,09-03-2023,22:38:11
https://eservices.whitehorse.vic.gov.au/ePathway/Production/Web/GeneralEnquiry/EnquiryDetailView.aspx?Id=1282847,WhiteHorse,09-03-2023,22:38:23
