Title,Variation 1 Value,Variation 2 Name,Variation 2 Value,Variation 3 Name,Variation 3 Value,Original Price,Discounted Price,Web Link,Original Price,Discounted Price,Web Link,Original Price,Discounted Price,Web Link,Original Price,Discounted Price,Web Link,Original Price,Discounted Price,Web Link
Samsung Galaxy Buds2 Pro,White,,USA,,,,,https://www.amazon.ae/SAMSUNG-Bluetooth-Cancelling-Conversation-Resistant/dp/B0B2SFVRC2/ref=asc_df_B0B2SH4CN6/?tag=googleshopp09-21&linkCode=df0&hvadid=406678587582&hvpos=&hvnetw=g&hvrand=14856570785367914769&hvpone=&hvptwo=&hvqmt=&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=1000013&hvtargid=pla-1723255409507&th=1,,,,,,,,,,,,
Samsung Galaxy Buds2 Pro,White,,UAE,,,,,https://www.amazon.ae/Bluetooth-Wireless-Cancelling-Charging-Resistant/dp/B0B8J1ZMPX/ref=asc_df_B0B8J28VMV/?tag=googleshopp09-21&linkCode=df0&hvadid=406678462028&hvpos=&hvnetw=g&hvrand=14856570785367914769&hvpone=&hvptwo=&hvqmt=&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=1000013&hvtargid=pla-1790258740797&th=1,,,https://www.noon.com/uae-en/galaxy-buds-2-pro-white/N53339158A/p/?o=a20106ce1fa09a3e,,,,,,,,,
Samsung Galaxy Buds2 Pro,Lavender Purple,,USA,,,,,https://www.amazon.ae/SAMSUNG-Bluetooth-Cancelling-Conversation-Resistant/dp/B0B2SH56BZ/ref=asc_df_B0B2SH4CN6/?tag=googleshopp09-21&linkCode=df0&hvadid=406678587582&hvpos=&hvnetw=g&hvrand=14856570785367914769&hvpone=&hvptwo=&hvqmt=&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=1000013&hvtargid=pla-1723255409507&th=1,,,,,,,,,,,,
Samsung Galaxy Buds2 Pro,Lavender Purple,,UAE,,,,,,,,https://www.noon.com/uae-en/galaxy-buds-2-pro-bora-purple/N53339187A/p/?o=a6c78c8ef878f77d,,,,,,,,,
Apple AirPods Max,Green,,,,,,,,,,https://www.noon.com/uae-en/airpods-max-bluetooth-over-ear-active-noise-cancellation-headphones-green/N42919236A/p/?o=e9c2a892184ecffb,,,,,,,,,
Apple AirPods Max,Silver,,,,,,,,,,https://www.noon.com/uae-en/airpods-max-bluetooth-over-ear-active-noise-cancellation-headphones-silver/N42919233A/p/?o=cb0f052f3bff00dd,,,,,,,,,
Apple AirPods Max,Sky Blue,,,,,,,https://www.amazon.ae/New-Apple-AirPods-Max-Space/dp/B08Q4J7ZNG/ref=asc_df_B08Q4LRXCG/?tag=googleshopp09-21&linkCode=df0&hvadid=560417303442&hvpos=&hvnetw=g&hvrand=18166133044163384366&hvpone=&hvptwo=&hvqmt=&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=1000013&hvtargid=pla-1090120418633&th=1,,,https://www.noon.com/uae-en/airpods-max-bluetooth-over-ear-active-noise-cancellation-headphones-sky-blue/N42919234A/p/?o=cf156c3361f91eae,,,,,,,,,
Apple AirPods Max,Space Grey,,,,,,,https://www.amazon.ae/New-Apple-AirPods-Max-Space/dp/B08Q4LRXCG/ref=asc_df_B08Q4LRXCG/?tag=googleshopp09-21&linkCode=df0&hvadid=560417303442&hvpos=&hvnetw=g&hvrand=18166133044163384366&hvpone=&hvptwo=&hvqmt=&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=1000013&hvtargid=pla-1090120418633&psc=1,,,https://www.noon.com/uae-en/airpods-max-bluetooth-over-ear-active-noise-cancellation-headphones-space-gray/N42919232A/p/?o=aa92e4000ae570af,,,,,,,,,
Apple AirPods Max,Pink,,,,,,,,,,https://www.noon.com/uae-en/airpods-max-bluetooth-over-ear-active-noise-cancellation-headphones-pink/N42919235A/p/?o=d07eac3f9a58d75c,,,,,,,,,
Apple AirPods Pro 2nd Generation,2022 Model,,,,,,,https://www.amazon.ae/New-Apple-AirPods-Pro-2nd/dp/B0BDK4GJXC/ref=sr_1_5?crid=2X2G4BQAXKT3Q&keywords=airpods%2B3rd%2Bgeneration&qid=1679248065&sprefix=%2Caps%2C299&sr=8-5&th=1,,,,,,,,,,,,
