id,name,website,country_id,city,logo,type,crunchbase_url,dealroom_url,partner_investor_section,edited_date,linkedin_url
66,Ocean Solutions Accelerator,https://www.soalliance.org/,88,,https://res.cloudinary.com/eutopia-2/image/upload/v1649698618/Investors/gthxx8agtusfvcfy2psn.jpg,Accelerator,https://www.crunchbase.com/organization/ocean-solutions-accelerator,https://app.dealroom.co/investors/ocean_solutions_accelerator,0,2021-06-08 09:49:58.960000
67,Geekdom Fund,https://geekdomfund.com/,226,San Antonio,https://res.cloudinary.com/eutop-1/image/upload/v1623142416/Investors/yqmiteetwpnu25zxcv7b.png,Venture capital,,https://app.dealroom.co/investors/geekdom_fund,0,2021-06-08 09:49:58.960000
68,New York Ventures,https://esd.ny.gov/doing-business-ny/venture-capital,226,New York,https://res.cloudinary.com/eutopia-2/image/upload/v1636893095/Investors/a4twdpbctf4gb6sgu6kz.jpg,Venture capital,,https://app.dealroom.co/investors/new_york_ventures,0,2021-06-08 10:36:13.533000
69,MassDevelopment�s Emerging Technology Fund,,,,,,https://www.crunchbase.com/organization/massdevelopment-s-emerging-technology-fund,,0,2021-12-23 11:59:26.423000
71,Ray Stata,,,,https://res.cloudinary.com/eutop-1/image/upload/v1623145514/Investors/kvunsqiaouyfpybkybel.jpg,Angel,https://www.crunchbase.com/person/ray-stata,https://app.dealroom.co/investors/ray_stata,0,2021-11-11 17:21:49.850000
72,Innovate UK,https://www.gov.uk/government/organisations/innovate-uk,225,Swindon,https://res.cloudinary.com/eutopia-2/image/upload/v1649137262/Investors/lfd4jubhzrwqdjh3ao9c.png,Government,https://www.crunchbase.com/organization/innovate-u-k-,,0,2021-06-08 10:48:34.507000
73,BOM Brabant Ventures,https://www.bom.nl/,150,,https://res.cloudinary.com/eutop-1/image/upload/v1623148968/Investors/lmupnlpybxtmabtpf9xi.jpg,Venture capital,,https://app.dealroom.co/investors/bom,0,2021-06-08 11:40:04.287000
74,Aqua Spark,https://www.aqua-spark.nl/,150,Utrecht,https://res.cloudinary.com/eutopia-2/image/upload/v1648148531/Investors/kveakrbnrabwbcjxepdw.jpg,Micro VC,https://www.crunchbase.com/organization/aqua-sparks,https://app.dealroom.co/companies/aqua_spark,0,2021-06-08 11:43:24.210000
76,Chalmers Ventures AB,https://www.chalmersventures.com/,205,Gothenburg,https://res.cloudinary.com/eutopia-2/image/upload/v1648033979/Investors/uloqgftu92cmqs3iznky.png,Venture Capital,https://www.crunchbase.com/organization/chalmers-ventures,https://app.dealroom.co/investors/chalmers_ventures,0,2021-06-08 11:54:34.317000
77,Swedish Energy Agency,http://www.energimyndigheten.se/en,205,,https://res.cloudinary.com/eutopia-2/image/upload/v1649826261/Investors/vinyovqkiebdugvk7z2p.gif,,https://www.crunchbase.com/organization/swedish-energy-agency,https://app.dealroom.co/companies/swedish_energy_agency,0,2021-06-08 11:54:34.317000
78,Almi Invest,https://www.almi.se/en/almi-invest/,205,Stockholm,https://res.cloudinary.com/eutopia-2/image/upload/v1648049671/Investors/wvrbcolztlagdle7qhv9.png,Venture capital,https://www.crunchbase.com/organization/almi-invest,https://app.dealroom.co/investors/almi_invest,0,2021-06-08 11:54:34.317000
80,European Commission,https://europa.eu/,21,City of Brussels,https://res.cloudinary.com/eutop-1/image/upload/v1623150021/Investors/n7duv3o2e7cvxipsjpoo.jpg,Fund,,https://app.dealroom.co/investors/european_commission,0,2021-06-08 11:54:34.317000
81,Scout Ventures,https://www.scoutventures.com/,226,New York,https://res.cloudinary.com/eutop-1/image/upload/v1623150103/Investors/vp5zgyalvuorcjebzpdd.png,Micro VC,https://www.crunchbase.com/organization/scout-ventures,https://app.dealroom.co/investors/scout_ventures,0,2021-06-08 12:01:02.307000
82,EPIC Ventures,https://epicvc.com/,226,Salt Lake City,https://res.cloudinary.com/eutop-1/image/upload/v1623150288/Investors/yzrywdvz6p7ctnpsd9e0.jpg,Venture capital,,https://app.dealroom.co/investors/cvc_capital_partners,0,2021-06-08 12:01:02.307000
83,Sun Mountain Capital,https://sunmountaincapital.com/,226,Santa Fe,https://res.cloudinary.com/eutop-1/image/upload/v1623150296/Investors/dwgkdn31rkdkvlm6gsfb.png,"Private equity, Venture capital",https://www.crunchbase.com/organization/sun-mountain-capital,https://app.dealroom.co/investors/sun_mountain_capital,0,2021-06-08 12:01:02.307000
84,Nanosys,https://www.nanosysinc.com/,226,Milpitas,https://res.cloudinary.com/eutop-1/image/upload/v1623150304/Investors/tddelkkivvrxd2bcj03v.png,,,https://app.dealroom.co/companies/nanosys,0,2021-06-08 12:01:02.307000
85,Arcview Collective Fund,https://arcviewventures.com/,,,https://res.cloudinary.com/eutop-1/image/upload/v1623154106/Investors/vfdyxcyduh00zetwvuji.jpg,Venture capital,,https://app.dealroom.co/investors/arcview_collective_fund,0,2021-06-08 13:03:56.357000
86,AGORANOV,https://www.agoranov.com/,73,Paris,https://res.cloudinary.com/eutopia-2/image/upload/v1649308257/Investors/ctmlskslmfjapg8t03qo.png,Incubator,https://www.crunchbase.com/organization/agoranov,https://app.dealroom.co/investors/incubateur_agoranov,0,2021-06-08 13:08:59.573000
87,EIT Climate-Kic,https://climate-kic.org/,150,Amsterdam,https://res.cloudinary.com/eutopia-2/image/upload/v1646093522/Investors/v5g6u0s7felwio8apbl0.png,Accelerator/?Incubator,https://www.crunchbase.com/organization/climate-kic-acceleration-programme-eit,,0,2021-06-08 13:08:59.573000
88,Defy Partners,https://defy.vc/,138,,https://res.cloudinary.com/eutopia-2/image/upload/v1649876871/Investors/akriquh0kch4ynmxzgci.jpg,Venture Capital,https://www.crunchbase.com/organization/defy-partners,https://app.dealroom.co/investors/defy_partners,0,2021-06-08 14:47:55.240000
89,GGV Capital,https://www.ggvc.com/,226,,https://res.cloudinary.com/eutopia-2/image/upload/v1649757924/Investors/nx2a2iq8hcllgr7ygfch.png,,https://www.crunchbase.com/organization/ggv-capital,https://app.dealroom.co/investors/ggv_capital,0,2021-06-08 14:47:55.240000
90,AGC,https://www.agc.com/,107,Tokyo,https://res.cloudinary.com/eutop-1/image/upload/v1623160131/Investors/scvx7lgeelvdof3n8iir.gif,,https://www.crunchbase.com/organization/asahi-glass-co,https://app.dealroom.co/companies/asahi_glass_co_,0,2021-06-08 14:47:55.240000
91,In-Q-Tel,https://www.iqt.org/,226,Arlington,https://res.cloudinary.com/eutop-1/image/upload/v1623160144/Investors/re23h1fmc4lz4xjw2lvy.png,Government Office,https://www.crunchbase.com/organization/in-q-tel,https://app.dealroom.co/investors/in_q_tel,0,2021-06-08 14:47:55.240000
94,Craton Equity Partners,http://www.cratonep.com/,226,,https://res.cloudinary.com/eutop-1/image/upload/v1623160376/Investors/fktexlfaxu5xtnhqxh4i.jpg,Venture Capital,https://www.crunchbase.com/organization/craton-equity-partners,https://app.dealroom.co/companies/craton_equity_partners,0,2021-06-08 14:52:20.083000
95,Alberta Innovates Bio Solutions,http://bio.albertainnovates.ca,226,,https://res.cloudinary.com/eutop-1/image/upload/v1623164089/Investors/ezrxwhoxmggnrjmswaae.png,,,https://app.dealroom.co/companies/alberta_innovates_bio_solutions,0,2021-06-08 15:49:57.627000
97,GV,https://www.gv.com/,226,Mountain View,https://res.cloudinary.com/eutopia-2/image/upload/v1649135201/Investors/pot0wf7zpfwgia3wi98f.png,Corporate Venture Capital,https://www.crunchbase.com/organization/google-ventures,https://app.dealroom.co/investors/google_ventures,0,2021-06-08 15:55:34.463000
98,SRI Ventures,https://www.sri.com/ventures/,226,,https://res.cloudinary.com/eutop-1/image/upload/v1623164180/Investors/jkkecdpvugpvhk73brkm.png,Venture Capital,https://www.crunchbase.com/organization/sri-ventures,https://app.dealroom.co/investors/sri_international,0,2021-06-08 15:55:34.463000
99,Perot Jain,http://www.perotjain.com,226,Dallas,https://res.cloudinary.com/eutopia-2/image/upload/v1636893127/Investors/sdwygi3qikrslrancemc.jpg,Angel,,https://app.dealroom.co/companies/perot_jain,0,2021-06-08 15:55:34.463000
100,Yamaha Motor Ventures,https://www.yamahamotor.vc/,226,Palo Alto,https://res.cloudinary.com/eutop-1/image/upload/v1623164344/Investors/kivmjcxqpub1sf85viac.png,Corporate Venture Fund,,https://app.dealroom.co/companies/yamaha_motor_ventures,0,2021-06-08 15:55:34.463000
102,Comet Labs,https://cometlabs.io/,226,,https://res.cloudinary.com/eutop-1/image/upload/v1623164382/Investors/fyaltcnthyiquparzlnn.png,Venture capital,,https://app.dealroom.co/investors/comet_labs,0,2021-06-08 15:55:34.463000
